0.500000;0.500000
0.500685;0.526167
0.502739;0.552261
0.506155;0.578213
0.510925;0.603950
0.517035;0.629402
0.524469;0.654500
0.533206;0.679174
0.543223;0.703358
0.554491;0.726984
0.566980;0.749987
0.580656;0.772306
0.595481;0.793879
0.611415;0.814646
0.628414;0.834550
0.646431;0.853538
0.665417;0.871557
0.685321;0.888557
0.706086;0.904493
0.727657;0.919320
0.749975;0.932998
0.772978;0.945489
0.796602;0.956760
0.820785;0.966778
0.845458;0.975517
0.870555;0.982954
0.896007;0.989066
0.921744;0.993838
0.947695;0.997257
0.973790;0.999313
0.999956;1.000000
1.026123;0.999317
1.052218;0.997266
1.078170;0.993852
1.103907;0.989084
1.129360;0.982976
1.154459;0.975544
1.179134;0.966809
1.203318;0.956795
1.226945;0.945529
1.249950;0.933042
1.272270;0.919368
1.293843;0.904544
1.314612;0.888612
1.334518;0.871615
1.353507;0.853600
1.371528;0.834615
1.388530;0.814713
1.404467;0.793949
1.419296;0.772379
1.432976;0.750063
1.445470;0.727061
1.456742;0.703437
1.466763;0.679256
1.475504;0.654583
1.482942;0.629487
1.489057;0.604036
1.493831;0.578299
1.497252;0.552348
1.499310;0.526254
1.500000;0.500087
