500 EPISODES, 0.05 REWARDS, 1000 STEPS, 1 TRAINING PER EPISODE, 20 EPISODES SCORES MEAN

Episodes: 134, gamma: 0.99, epsilon_dec: 0.97, lr: 0.008, batch: 128, tau:0.1
Episodes: 110, gamma: 0.99, epsilon_dec: 0.97, lr: 0.005, batch: 64, tau:0.1
Episodes: 122, gamma: 0.99, epsilon_dec: 0.97, lr: 0.005, batch: 128, tau:0.05
Episodes: 142, gamma: 0.99, epsilon_dec: 0.97, lr: 0.005, batch: 128, tau:0.1
Episodes: 149, gamma: 0.99, epsilon_dec: 0.97, lr: 0.001, batch: 128, tau:0.1

200 EPISODES, REWARD EVERY 10 POINS SIN 0.1 , 500 STEPS, 3 TRAINING PER EPISODE, 3 SOFT UPDATE PER EPISODE, 15 EPISODES SCORES MEAN
Episodes: 70, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 128, tau:0.05
Episodes: 174, gamma: 0.99, epsilon_dec: 0.95, lr: 0.008, batch: 128, tau:0.05
Episodes: 115, gamma: 0.99, epsilon_dec: 0.95, lr: 0.005, batch: 64, tau:0.05
Episodes: 115, gamma: 0.99, epsilon_dec: 0.95, lr: 0.005, batch: 128, tau:0.1
Episodes: 123, gamma: 0.99, epsilon_dec: 0.97, lr: 0.008, batch: 128, tau:0.05
Episodes: 116, gamma: 0.99, epsilon_dec: 0.97, lr: 0.005, batch: 128, tau:0.05

100 EPISODES, REWARD EVERY 10 POINS SIN 0.1 , 500 STEPS, TRAINING PER 10 STEPS, 15 EPISODES SCORES MEAN

Episodes: 26, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 64, tau:0.01
Episodes: 37, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 128, tau:0.01
Episodes: 30, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 64, tau:0.01
Episodes: 35, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 128, tau:0.01
Episodes: 40, gamma: 0.99, epsilon_dec: 0.95, lr: 0.008, batch: 64, tau:0.01
Episodes: 32, gamma: 0.99, epsilon_dec: 0.95, lr: 0.008, batch: 128, tau:0.01
Episodes: 35, gamma: 0.99, epsilon_dec: 0.95, lr: 0.005, batch: 64, tau:0.01
Episodes: 39, gamma: 0.99, epsilon_dec: 0.95, lr: 0.005, batch: 64, tau:0.05
Episodes: 31, gamma: 0.99, epsilon_dec: 0.95, lr: 0.005, batch: 128, tau:0.01
Episodes: 36, gamma: 0.99, epsilon_dec: 0.97, lr: 0.008, batch: 64, tau:0.01
Episodes: 40, gamma: 0.99, epsilon_dec: 0.97, lr: 0.005, batch: 64, tau:0.01
Episodes: 34, gamma: 0.99, epsilon_dec: 0.97, lr: 0.005, batch: 128, tau:0.01

100 EPISODES, REWARD EVERY 10 POINS SIN 0.1 , 500 STEPS, TRAINING PER 10 STEPS, 15 EPISODES SCORES MEAN

Episodes: 29, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 32, tau:0.01
Episodes: 37, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 32, tau:0.005
Episodes: 38, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 64, tau:0.01
Episodes: 33, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 64, tau:0.005
Episodes: 22, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 128, tau:0.01
Episodes: 31, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 128, tau:0.005
Episodes: 32, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 32, tau:0.01
Episodes: 33, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 32, tau:0.005
Episodes: 26, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 64, tau:0.01
Episodes: 29, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 64, tau:0.005
Episodes: 28, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 128, tau:0.01
Episodes: 29, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 128, tau:0.005
Episodes: 32, gamma: 0.99, epsilon_dec: 0.95, lr: 0.008, batch: 32, tau:0.01
Episodes: 46, gamma: 0.99, epsilon_dec: 0.95, lr: 0.008, batch: 32, tau:0.005
Episodes: 35, gamma: 0.99, epsilon_dec: 0.95, lr: 0.008, batch: 64, tau:0.01
Episodes: 40, gamma: 0.99, epsilon_dec: 0.95, lr: 0.008, batch: 64, tau:0.005
Episodes: 29, gamma: 0.99, epsilon_dec: 0.95, lr: 0.008, batch: 128, tau:0.01
Episodes: 42, gamma: 0.99, epsilon_dec: 0.95, lr: 0.008, batch: 128, tau:0.005
Episodes: 24, gamma: 0.99, epsilon_dec: 0.95, lr: 0.005, batch: 32, tau:0.01
Episodes: 47, gamma: 0.99, epsilon_dec: 0.95, lr: 0.005, batch: 32, tau:0.005
Episodes: 30, gamma: 0.99, epsilon_dec: 0.95, lr: 0.005, batch: 64, tau:0.01
Episodes: 45, gamma: 0.99, epsilon_dec: 0.95, lr: 0.005, batch: 64, tau:0.005
Episodes: 42, gamma: 0.99, epsilon_dec: 0.95, lr: 0.005, batch: 128, tau:0.005
Episodes: 49, gamma: 0.99, epsilon_dec: 0.9, lr: 0.008, batch: 32, tau:0.01
Episodes: 32, gamma: 0.99, epsilon_dec: 0.9, lr: 0.008, batch: 32, tau:0.005
Episodes: 32, gamma: 0.99, epsilon_dec: 0.9, lr: 0.008, batch: 64, tau:0.01
Episodes: 33, gamma: 0.99, epsilon_dec: 0.9, lr: 0.008, batch: 64, tau:0.005
Episodes: 27, gamma: 0.99, epsilon_dec: 0.9, lr: 0.008, batch: 128, tau:0.01
Episodes: 34, gamma: 0.99, epsilon_dec: 0.9, lr: 0.008, batch: 128, tau:0.005
Episodes: 48, gamma: 0.99, epsilon_dec: 0.9, lr: 0.005, batch: 32, tau:0.01
Episodes: 36, gamma: 0.99, epsilon_dec: 0.9, lr: 0.005, batch: 32, tau:0.005
Episodes: 37, gamma: 0.99, epsilon_dec: 0.9, lr: 0.005, batch: 64, tau:0.01
Episodes: 27, gamma: 0.99, epsilon_dec: 0.9, lr: 0.005, batch: 64, tau:0.005
Episodes: 28, gamma: 0.99, epsilon_dec: 0.9, lr: 0.005, batch: 128, tau:0.01
Episodes: 40, gamma: 0.99, epsilon_dec: 0.9, lr: 0.005, batch: 128, tau:0.005

24-2,100 EPISODES, REWARD EVERY 10 POINS SIN 0.1 , 500 STEPS, TRAINING PER 10 STEPS, 15 EPISODES SCORES MEAN
Episodes: 34, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 32, tau:0.01
Episodes: 36, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 64, tau:0.01
Episodes: 47, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 64, tau:0.01
Episodes: 32, gamma: 0.99, epsilon_dec: 0.9, lr: 0.008, batch: 64, tau:0.01
Episodes: 33, gamma: 0.99, epsilon_dec: 0.9, lr: 0.005, batch: 32, tau:0.01
Episodes: 45, gamma: 0.99, epsilon_dec: 0.9, lr: 0.005, batch: 64, tau:0.01


32-2,100 EPISODES, REWARD EVERY 10 POINS SIN 0.1 , 500 STEPS, TRAINING PER 10 STEPS, 3 EPISODES SCORES MEAN
Episodes: 23, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 32, tau:0.01
Episodes: 38, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 64, tau:0.01
Episodes: 44, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 32, tau:0.01
Episodes: 34, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 64, tau:0.01
Episodes: 24, gamma: 0.99, epsilon_dec: 0.9, lr: 0.008, batch: 32, tau:0.01
Episodes: 45, gamma: 0.99, epsilon_dec: 0.9, lr: 0.005, batch: 32, tau:0.01
Episodes: 41, gamma: 0.99, epsilon_dec: 0.9, lr: 0.005, batch: 64, tau:0.01
Episodes: 37, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 32, tau:0.01
Episodes: 35, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 32, tau:0.01
Episodes: 34, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 32, tau:0.01



Episodes: 39, gamma: 0.99, epsilon_dec: 0.95, lr: 0.008, batch: 32, tau:0.01
Episodes: 31, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 32, tau:0.01


-----------------------------------------------------------------------------------------------

BIG CIRCUIT 64-2, 100 EPISODES REWARD EVERY 10 POINS SIN 0.1 , 500 STEPS, TRAINING every step, 5 EPISODES SCORES MEAN
Episodes: 35, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 32, tau:0.01
Episodes: 49, gamma: 0.99, epsilon_dec: 0.92, lr: 0.005, batch: 32, tau:0.01
Episodes: 35, gamma: 0.995, epsilon_dec: 0.92, lr: 0.008, batch: 32, tau:0.01
Episodes: 50, gamma: 0.995, epsilon_dec: 0.92, lr: 0.005, batch: 32, tau:0.01
Episodes: 40, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 32, tau:0.01
Episodes: 102, gamma: 0.99, epsilon_dec: 0.92, lr: 0.008, batch: 32, tau:0.01
